Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ÉC,2022-03-06 06:00:00,SN,None,No,,yes,,,-5°C -SN clearing light ENE winds,No,"F29,1/8,ISO100",,Snow board only,28.0,,5.0,,,,2.8 cm of snow since 0445UTC
ÉC,2022-03-06 06:10:00,SN,None,No,,yes,,,-5°C few snowflakes light ENE wind,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 06:20:00,SN,None,No,,yes,,,very light snow,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 06:30:00,SN,None,No,,yes,,,-5°C Light snow light ENE wind,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 06:40:00,SN,GS,No,,yes,,,-5°C light snow and graupel winds ENE 5KT,no,Same as previous photo,,none,,,,,,,
ÉC,2022-03-06 06:50:00,SN,GS,No,,yes,,,-5°C Snowflakes and few graupel NE wind 5 KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 07:00:00,SG,SN,No,,yes,,,"-5°C Light mixture of snow grains, graupel and few snowflakes, ENE wind 5KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,No ice accretion yet
ÉC,2022-03-06 07:10:00,SG,GS,No,,yes,,,"-5°C Light Snow grains with graupel, ENE wind 5KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 07:20:00,SN,GS,No,,yes,,,"-5°C, back to mostly snow, light ENE wind",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 07:30:00,GS,SN,No,,yes,,,"-5°C Light graupel with light snow, wind ENE 5KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2022-03-06 07:40:00,GS,PL,No,No,yes,,,"-5°C Mixture of light graupel and ice pellets, wind ENE 5KT",No,,,None,,,,,,,
