Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
MS,2022-03-06 10:00:00,None,None,No,No,yes,St,5,,No,,,None,,,,,,,
MS,2022-03-06 10:10:00,None,None,No,No,yes,St,7,,No,,,None,,,,,,,
MS,2022-03-06 10:20:00,None,None,No,No,yes,St,7,,No,,,None,,,,,,,
MS,2022-03-06 10:30:00,None,None,No,No,yes,St,3,,No,,,None,,,,,,,
MS,2022-03-06 10:40:00,None,None,No,No,yes,St,6,,No,,,None,,,,,,,
MS,2022-03-06 10:50:00,None,None,No,No,yes,St,7,,No,,,None,,,,,,,
BH,2022-03-06 11:00:00,None,None,,,yes,St,7,TEMP 37F; RH 58%; S wind 8-9 m/s ,No,,,None,,,,,,,
BH,2022-03-06 11:10:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
BH,2022-03-06 11:20:00,None,None,,,yes,St,5,,No,,,None,,,,,,,
BH,2022-03-06 11:30:00,None,None,,,yes,St,6,TEMP 37F ; RH 66%; S wind 8-9 m/s,No,,,None,,,,,,,
BH,2022-03-06 11:40:00,None,None,,,yes,St,7,Windy,No,,,None,,,,,,,
BH,2022-03-06 11:50:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 12:00:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
YR,2022-03-06 12:10:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 12:20:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 12:30:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 12:40:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
YR,2022-03-06 12:50:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:00:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:10:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:20:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:30:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:40:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
EP,2022-03-06 13:50:00,RA,None,,,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:00:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:10:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:20:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:30:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:40:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
MS,2022-03-06 14:50:00,RA,None,No,No,yes,Ns,8,,No,,,None,,,,,,,
BH,2022-03-06 15:00:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
BH,2022-03-06 15:10:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
BH,2022-03-06 15:20:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
BH,2022-03-06 15:30:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
BH,2022-03-06 15:40:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 16:00:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 16:10:00,None,None,,,yes,St,7,,No,,,None,,,,,,,
YR,2022-03-06 16:20:00,None,None,,,yes,St,6,,No,,,None,,,,,,,
