Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
RB,2/22/2022 21:00:00,None,None, , ,no,St,8.0,,No,,,None,,,,,,,
RB,2/22/2022 21:10:00,None,None, , ,no,St,8.0,,No,,,None,,,,,,,
TW,2/22/2022 21:20:00,None,None, , ,yes,St,8.0,,No,,,None,,,,,,,
RB,2/22/2022 21:30:00,Unknown or Uncertain,None, , ,yes,St,8.0,Light liquid precipitation. Uncertain of DZ or FZDZ because temperature was unknown and no obvious accretion on surfaces.,No,,,None,,,,,,,
RB,2/22/2022 21:50:00,FRDZ,PL, , ,no,St,8.0,,No,,,None,,,,,,,
RB,2/22/2022 22:10:00,FRDZ,None, , ,yes,St,8.0,super light,No,,,None,,,,,,,
TW,2/22/2022 22:20:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/22/2022 22:30:00,FRDZ,None, , ,no,Ns,8.0,super light drizzle,No,,,None,,,,,,,
RB,2/22/2022 22:40:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/22/2022 22:50:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/22/2022 23:00:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/22/2022 23:10:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/22/2022 23:20:00,FRDZ,None, , ,no,Ns,8.0,,No,,,None,,,,,,,
TW,2/22/2022 23:30:00,FRDZ,None, , ,no,Ns,8.0,,No,,,None,,,,,,,
RB,2/23/2022 0:00:00,FRDZ,None, , ,yes,Ns,8.0,heavy drizzle,No,,,None,,,,,,,
TW,2/23/2022 0:10:00,FRDZ,None, , ,no,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 0:20:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 0:30:00,FRDZ,None, , ,no,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 0:40:00,FRDZ,None, , ,yes,Ns,8.0,Designated freezing drizzle because temperature < 0 C,No,,,None,,,,,,,
TW,2/23/2022 0:50:00,FRDZ,None, , ,yes,Ns,8.0,,No,,,Ice accretion only,,,,,,Past 3 hours,"Approximately 1 to 1.5 millimeters of ice on ground, especially over old snowpack. No calliper for exact measurements."
RB,2/23/2022 1:00:00,FRDZ,None, , ,yes,Ns,8.0,-1.5 C temperature,No,,,None,,,,,,,
TW,2/23/2022 1:10:00,DZ,None, , ,yes,Ns,8.0,Designated drizzle because T = 0 Celsius approximately,No,,,None,,,,,,,
RB,2/23/2022 1:20:00,RA,None, , ,yes,Ns,8.0,Very light rain at about 0c,No,,,None,,,,,,,
TW,2/23/2022 1:30:00,RA,None, , ,yes,Ns,8.0,Light rain,No,,,None,,,,,,,
RB,2/23/2022 2:00:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/23/2022 2:10:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2/23/2022 2:20:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 2:30:00,RA,None, , ,yes,Ns,8.0,"Light to moderate rain, 6.3 deg Celsius",No,,,None,,,,,,,
TW,2/23/2022 2:40:00,RA,None, , ,yes,Ns,8.0,Light to moderate rain,No,,,None,,,,,,,
TW,2/23/2022 2:50:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 3:00:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 3:10:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 3:20:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
TW,2/23/2022 3:30:00,RA,None, , ,yes,Ns,8.0,Light rain,No,,,None,,,,,,,
TW,2/23/2022 4:10:00,RA,None, , ,yes,Ns,8.0,Light rain,No,,,None,,,,,,,
RB,2/23/2022 4:20:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
RB ,2/23/2022 4:30:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
TW,2/23/2022 4:40:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
TW,2/23/2022 4:50:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
RB,2/23/2022 5:00:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
TW,2/23/2022 5:10:00,DZ,None, , ,no,,,,No,,,None,,,,,,,
RB,2/23/2022 5:20:00,Unknown or Uncertain,None, , ,yes,,,Small frozen particles. Possibly SG or IC,No,,,None,,,,,,,
RB,2/23/2022 5:30:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
