Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2/22/2022 20:00:00,None,None,,,no,St,8,,No,,,Ice accretion only,,,,21.5,0.0,,Rod is 21.5 mm diameter. No accretion on the rod.
ML,2/22/2022 20:30:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
ML,2/22/2022 21:00:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
ML,2/22/2022 21:10:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
ML,2/22/2022 21:20:00,FZDZ,PL,,No,yes,St,8,,No,,,None,,,,,,,
KV,2/22/2022 21:30:00,FZDZ,PL,,No,yes,St,8,,Yes,"1/10,200,F22","Light precip, only 1 photo taken",None,,,,,,,
KV,2/22/2022 21:40:00,FZRA,PL,,No,yes,St,8,,Yes,"1/10,200,F22",,None,,,,,,,
KV,2/22/2022 21:50:00,FZRA,PL,,No,yes,St,8,,Yes,"1/10,200,F22",,None,,,,,,,
KV,2/22/2022 22:00:00,PL,FZRA,,No,yes,St,8,,Yes,"1/10,200,F22","Mixed Prpn, Mostly IP + Light FZRA",Ice accretion only,,,,21.9,0.2,02:00:00,
KV,2/22/2022 22:10:00,PL,FZRA,,No,yes,St,8,,Yes,"1/10,200,F22",,None,,,,,,,
KV,2/22/2022 22:20:00,PL,FZRA,,No,yes,St,8,,Yes,"1/10,100,F29",Settings changed,Ice accretion only,,,,21.9,0.2,02:20:00,
KV,2/22/2022 22:30:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/22/2022 22:40:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,Ice accretion only,,,,21.9,0.2,,
ML,2/22/2022 22:50:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/22/2022 23:00:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,Ice accretion only,,,,21.9,0.2,03:00:00,
KV,2/22/2022 23:10:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/22/2022 23:20:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/22/2022 23:30:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/22/2022 23:40:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/22/2022 23:50:00,PL,None,,No,yes,St,8,,No,,,None,,,,,,,
KV,2/23/2022 0:00:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/23/2022 0:10:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 0:20:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 0:30:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 0:40:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 0:50:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/23/2022 1:00:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
KV,2/23/2022 1:10:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 1:20:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
ML,2/23/2022 1:30:00,PL,None,,No,yes,St,8,,Yes,"1/10,100,F29",,None,,,,,,,
