Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
MG,2/23/2022 3:10:00,PL,None,No,Yes,yes,,,-7°C Moderate to heavy ice pellets winds NE 10-15KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,Only a glaze of ice accretion since beginning of IOP
ÉC,2/23/2022 3:20:00,PL,None,No,Yes,yes,,,-7°C Moderate ice pellets NE wind 10-15KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
MG,2/23/2022 3:30:00,PL,FZRA,Yes,Yes,yes,,,-7°C Moderate ice pellets and some freezing rain NE wind 10-15KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/23/2022 3:40:00,PL,FZRA,Yes,Yes,yes,,,-6°C Moderate ice pellets/freezing rain NE wind 10-15KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/23/2022 3:50:00,PL,FZRA,Yes,Yes,yes,,,"-6°C Light to moderate ice pellets with light freezing rain, NE wind 5-10KT",Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,Some ice accretion starting
ÉC,2/23/2022 4:00:00,PL,FZRA,Yes,Yes,yes,,,-5°C Light ice pellets light freezing rain NE wind 5 KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/23/2022 4:10:00,PL,FZRA,Yes,Yes,yes,,,-5°C Very light ice pellets and freezing rain wind NE 5 KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/23/2022 4:20:00,FZRA,PL,Yes,Yes,yes,,,-5°C Light freezing rain and ice pellets NNE wind 5 KT,No,,,None,,,,21.0,0.0,,
ÉC,2/23/2022 4:30:00,FZRA,PL,Yes,Yes,yes,,,"-5°C Light freezing rain with few ice pellets, NNE wind 5 KT",No,,,Ice accretion only,,,,21.4,0.2,since start of IOP,Only a glaze of ice - since beginning of IOP
MG,2/23/2022 4:40:00,FZRA,PL,Yes,Yes,yes,,,"Very few ice pellet and light FZRA, Winds NNE 5 kt",No,,,None,,,,21.4,0.2,,
ÉC,2/23/2022 4:50:00,FZRA,None,No,,yes,,,-5°C Very light freezing rain winds NNE 5KT,No,,,None,,,,21.4,0.2,,
MG,2/23/2022 5:00:00,FZDZ,None,No,,yes,,,-5°C Freezing drizzle winds NNE 5KT,No,,,None,,,,21.4,0.2,,
ÉC,2/23/2022 5:10:00,FRDZ,None,No,,yes,,,"-5°C Freezing drizzle, NNE wind 0-5KT",No,,,Ice accretion only,,,,21.6,0.3,since start of IOP,
ÉC,2/23/2022 5:30:00,FRDZ,None,No,,yes,,,-5°C Freezing drizzle N wind 5KT,No,,,None,,,,21.6,0.3,,
ÉC,2/23/2022 5:40:00,FRDZ,None,No,,yes,,,-4°C Light freezing drizzle wind N 0-5 KT,No,,,Ice accretion only,,,,21.8,0.4,since start of IOP,Very last ice accretion overall at TR in this IOP
MG,2/23/2022 5:20:00,FRDZ,None,No,,yes,,,"-5°C Freezing drizzle, NNE wind 0-5KT",No,,,Ice accretion only,,,,22.0,0.5,since start of IOP,
MG,2/23/2022 5:30:00,FRDZ,None,No,,yes,,,"-5°C Freezing drizzle, NNE wind 0-5KT",No,,,Ice accretion only,,,,22.2,0.6,since start of IOP,
