Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
MB,2/18/2022 1:00:00,RA,None,No,No,yes,,,Too dark to see clouds,No,,,None,,,,,,,
MB,2/18/2022 1:10:00,RA,None,,,no,,,Dark,No,,,None,,,,,,,
MB,2/18/2022 1:20:00,RA,None,,,yes,,,,No,,,None,,,,,,,
MB,2/18/2022 1:30:00,RA,None,,,no,,,,No,,,None,,,,,,,
MB,2/18/2022 1:40:00,RA,None,,,no,,,Fog is much lighter than before,No,,,None,,,,,,,
MB,2/18/2022 1:50:00,RA,None,,,no,,,Light fog ,No,,,None,,,,,,,
BH,2/18/2022 2:00:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 2:10:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 2:20:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 2:30:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 2:40:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 2:50:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 3:00:00,RA,None,,,yes,Ns,8.0,,No,,,None,,,,,,,
JE,2/18/2022 3:10:00,RA,None,No,,yes,,8.0,,No,,,None,,,,,,,
JE,2/18/2022 3:20:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
JE,2/18/2022 3:30:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
JE,2/18/2022 3:40:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
JE,2/18/2022 3:50:00,RA,None,,,no,,,,No,,,None,,,,,,,
SAL,2/18/2022 4:00:00,RA,None,,,yes,,,Too dark to see clouds and fog,No,,,None,,,,,,,
SAL,2/18/2022 4:10:00,RA,None,,,yes,,,,No,,,None,,,,,,,
SAL,2/18/2022 4:20:00,RA,None,,,no,,,,No,,,None,,,,,,,
SAL,2/18/2022 4:30:00,RA,None,,,no,,,,No,,,None,,,,,,,
SAL,2/18/2022 4:40:00,RA,None,,,yes,,,,No,,,None,,,,,,,
SAL,2/18/2022 4:50:00,FZRA,None,,,yes,,,,No,,,None,,,,,,,
MB,2/18/2022 5:00:00,FZRA,None,,,yes,,,,No,,,None,,,,,,,ZR just started not enough to measure just a glaze
MB,2/18/2022 5:10:00,FZRA,PL,Uncertain,Uncertain,yes,,,Mix of PL and ZR ,No,,Will take photos soon but plates are wet,None,,,,,,,
MB,2/18/2022 5:20:00,FZRA,PL,Uncertain,Uncertain,yes,,,Back over to mostly freezing rain now with the occasional ice pellet ,No,,,None,,,,,,,
MB,2/18/2022 5:30:00,PL,FZRA,Uncertain,Uncertain,no,,,,No,,Will take picture upon next cycle,None,,,,,,,
MB,2/18/2022 5:40:00,PL,FZRA,Uncertain,Uncertain,yes,,,Even mix between zr and PL,No,,Photos will be taken soon,None,,,,,,,
MB,2/18/2022 5:50:00,PL,FZRA,Uncertain,Uncertain,yes,,,Mainly PL now ,No,,Photos being taken now,None,,,,,,,
MB,2/18/2022 6:00:00,PL,FZRA,No,No,yes,,,,Yes (macro DSLR),"Shutter speed 1/4, F22, ISO320, smallest focus length (0.185)",,None,,,,,,,
MB,2/18/2022 6:10:00,PL,FZRA,Uncertain,Uncertain,yes,,,Mostly PL with some ZR,Yes (macro DSLR),Same as previous photo,Having some issues with the background of the plate as they got wet,None,,,,,,,Stills glaze of ice. Now accumulating PL
SAL,2/18/2022 6:20:00,PL,None,No,Uncertain,yes,,,,Yes (macro DSLR),Same as previous photo,less than 9 photos taken,Ice accretion only,,,,24.0,1.1,From start of IOP operations,
JE,2/18/2022 7:00:00,PL,None,No,No,yes,,8.0,,No,,,Ice accretion only,,,,24.5,1.35,From start of IOP operations,
JE,2/18/2022 7:10:00,PL,None,No,No,yes,,8.0,,No,,,Ice accretion only,,,,24.5,1.35,From start of IOP operations,
JE,2/18/2022 7:30:00,PL,None,No,No,yes,,8.0,,Yes (macro DSLR),Same as previous photo,photos taken at 0720 UTC,Ice accretion only,,,,24.5,1.35,From start of IOP operations,
JE,2/18/2022 7:40:00,PL,None,No,No,yes,,8.0,,No,,,Ice accretion only,,,,24.5,1.35,From start of IOP operations,
JE,2/18/2022 7:50:00,PL,None,No,No,yes,,8.0,,No,,,Ice accretion only,,,,24.5,1.35,From start of IOP operations,
BH,2/18/2022 8:20:00,PL,None,No,No,yes,Ns,8.0,,No,,,Ice accretion only,,,,24.6,1.4,From start of IOP operations,
MB,2/18/2022 8:30:00,PL,None,No,No,yes,,,Totally PL,No,,,Snow board and ice accretion,13.0,,,24.6,1.4,From start of IOP operations,Snow board was frozen so took measurements for sleet on the ground
MB,2/18/2022 9:00:00,PL,None,Uncertain,Uncertain,no,,,,,,,None,,,,,,,
BH,2/18/2022 9:10:00,PL,None,No,No,yes,Ns,8.0,,No,,,Ice accretion only,,,,24.6,1.4,From start of IOP operations,
BH,2/18/2022 9:30:00,PL,None,No,No,yes,Ns,8.0,,No,,,None,,,,,,,
BH,2/18/2022 9:40:00,PL,SN,,,yes,,8.0,,No,,,None,,,,,,,
BH,2/18/2022 10:00:00,SN,None,,,yes,Ns,8.0,,Yes (macro DSLR),Same as previous photo,less than 9 photos taken,Ice accretion only,,,,24.6,1.4,From start of IOP operations,
