Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2022-02-17 23:00:00,RA,None,,,yes,,8,,No,,,None,,,,,,,
ML,2022-02-17 23:10:00,RA,None,,,yes,,8,,No,,,None,,,,,,,
ML,2022-02-17 23:20:00,RA,None,,,yes,,8,,No,,,None,,,,,,,
ML,2022-02-17 23:28:00,SN,None,Yes,,yes,,8,,No,,,None,,,,,,,
SB,2022-02-17 23:30:00,SN,None,Yes,,yes,,8,Big aggregrates,Yes (macro DSLR),"1/8,200,F22",,None,,,,,,,
SB,2022-02-17 23:40:00,SN,None,Yes,,yes,,8,Big aggregrates,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-17 23:53:00,SN,None,No,,yes,,8,Big aggregrates,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-18 00:00:00,SN,None,No,,yes,,8,"aggregrates, snow accumulating",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-18 00:10:00,SN,None,No,,yes,,8,aggregrates,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-18 00:20:00,SN,None,No,,yes,,8,"aggregrates,",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-18 00:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
SB,2022-02-18 00:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,24.0,,,,,,Board not cleared
ML,2022-02-18 00:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,Melting fast on board,None,,,,,,,
ML,2022-02-18 01:00:00,SN,None,No,,yes,,8,aggregates,Yes (macro DSLR),Same as previous photo,Melting fast on board,None,,,,,,,
ML,2022-02-18 01:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,Melting fast on board,None,,,,,,,
ML,2022-02-18 01:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 01:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 01:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,44.0,,,,,,Board not cleared
ML,2022-02-18 01:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,,,,,,,
ML,2022-02-18 02:00:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,48.0,6.0,3.0,,,,"Board not cleared, we forgot"
ML,2022-02-18 02:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 02:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 02:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 02:40:00,SN,None,No,,yes,,8,Individual crystals,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 02:50:00,SN,None,No,,yes,,8,Individual crystals,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 03:00:00,SN,None,No,,yes,,8,Individual crystals,Yes (macro DSLR),Same as previous photo,,Snow board only,62.0,,,,,,Board cleared
ML,2022-02-18 03:10:00,SN,None,No,,yes,,8,Individual crystals,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 03:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 03:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,16.0,,,,,,
ML,2022-02-18 03:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 03:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 04:00:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 04:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 04:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,42.0,,,,,,board not cleared
ML,2022-02-18 04:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 04:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 04:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 05:00:00,SN,None,No,,yes,,8,Difficult to tell wether its fog or heavy snow fall,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 05:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 05:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 05:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,95.0,,,,,,
ML,2022-02-18 05:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 05:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 06:00:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,110.0,13.0,3.0,,,,Board cleared
ML,2022-02-18 06:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 06:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 06:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 06:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 06:50:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 07:00:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 07:10:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 07:20:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 07:30:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,Snow board only,15.0,,,,,,board not cleared
ML,2022-02-18 07:40:00,SN,None,No,,yes,,8,,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 07:50:00,SN,None,No,,yes,,8,Aggregates of needles,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ML,2022-02-18 08:00:00,SN,None,No,,yes,,8,Aggregates of needles,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
