Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ÉC,2/18/2022 6:20:00,PL,None, , ,yes,,,-2°C Moderate Ice Pellets NNE wind 20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 6:30:00,PL,None, , ,yes,,,-2°C Moderate Ice Pellets NNE wind 15-20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 6:40:00,PL,None, , ,yes,,,-2°C Moderate Ice Pellets NNE wind 20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 6:50:00,PL,None, , ,no,,,-2°C Moderate Ice Pellets Winds N 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 7:00:00,PL,None, , ,no,,,-2°C Moderate Ice Pellets N Wind 15KT,Yes (cell phone only),,,None,,,,,,,
ÉC,2/18/2022 7:10:00,PL,None, , ,yes,,,-2°C Moderate Ice Pellets Wind N 20G25KT,Yes (macro DSLR),Same as previous photo,,Ice accretion only,,,,14.9,1.1,Since 03:40UTC,"Previous record of ice was 0.7mm, not 7 mm [JRM: corrected in spreadsheet]. Ice accretion has pretty much stopped."
ÉC,2/18/2022 7:20:00,PL,None, , ,yes,,,-2°C Moderate Ice Pellets N wind 20G25KT,Yes (macro DSLR),Same as previous photo,,Ice accretion only,,,,,,3h40 (since 03:40UTC),
ÉC,2/18/2022 7:30:00,PL,None, , ,yes,,,-3°C -PL N wind 15-20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 7:40:00,PL,SN, , ,yes,,,"-4°C -PL Few Snowflakes start to mix in, N wind 15KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 7:50:00,PL,None, , ,yes,,,-4°C Moderate Ice Pellets winds N 20-25KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 8:00:00,PL,None, , ,no,,,-4°C Moderate Ice Pellets NNW wind 15-20KT,Yes (macro DSLR),,,None,,,,,,,
ÉC,2/18/2022 8:10:00,PL,None, , ,yes,,,-4°C Moderate Ice Pellets Wind NNW 20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 8:20:00,PL,None, , ,yes,,,-5°C Moderate to Heavy Ice Pellets PL Wind N 15-20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 8:30:00,PL,None, , ,yes,,,-5°C Moderate to Heavy Ice Pellets wind N 15-20KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 8:40:00,PL,None, , ,yes,,,"-5°C Moderate to Heavy Ice Pellets, wind NNW 15KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 8:50:00,PL,None, , ,yes,,,"-5°C Moderate to Heavy Ice Pellets, Winds NNW 15-20KT",Yes (macro DSLR),Same as previous photo,,None,,,,,,,
ÉC,2/18/2022 9:00:00,PL,SN, , ,yes,,,-5°C Light Ice Pellets Moderate Snow Transitionning to All Snow winds N 20-25KT,Yes (macro DSLR),Same as previous photo,,None,,,,,,,Just started snowing - end of IOP
