Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
RB,2/10/2022 8:20:00,SG,None, , ,no,,6,very light flurry,No,,,None,,,,,,,
RB,2/10/2022 8:40:00,None,None, , ,no,,7,,No,,,None,,,,,,,
RB,2/10/2022 8:40:00,None,None, , ,no,,7,,No,,,None,,,,,,,
RB,2/10/2022 8:50:00,unknown or uncertain,None, , ,no,,6,,No,,,None,,,,,,,
RB,2/10/2022 9:00:00,None,None, , ,no,,8,,No,,,None,,,,,,,
RB,2/10/2022 9:10:00,None,None, , ,no,,8,,No,,,None,,,,,,,
RB,2/10/2022 9:20:00,None,None, , ,no,,8,,No,,,None,,,,,,,
RB,2/10/2022 9:30:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 9:40:00,None,None, , ,no,,6,,No,,,None,,,,,,,
MG,2/10/2022 9:50:00,None,None, , ,no,,6,,No,,,None,,,,,,,
MG,2/10/2022 10:00:00,None,None, , ,no,,6,,No,,,None,,,,,,,
MG,2/10/2022 10:10:00,None,None, , ,no,,7,,No,,,None,,,,,,,
MG,2/10/2022 10:20:00,None,None, , ,no,,7,,No,,,None,,,,,,,
MG,2/10/2022 10:30:00,None,None, , ,no,,7,,No,,,None,,,,,,,
MG,2/10/2022 10:40:00,None,None, , ,no,,7,,No,,,None,,,,,,,
MG,2/10/2022 10:50:00,DZ,None, , ,no,,8,,No,,,None,,,,,,,
RB,2/10/2022 11:00:00,DZ,None, , ,no,,7,,No,,,None,,,,,,,
RB,2/10/2022 11:10:00,None,None, , ,no,,7,,No,,,None,,,,,,,
MG,2/10/2022 11:20:00,DZ,None, , ,no,,8,Very light drizzle ,No,,,None,,,,,,,
MG,2/10/2022 11:30:00,DZ,None, , ,no,,8,Very light drizzle ,No,,,None,,,,,,,
MG,2/10/2022 11:40:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 11:50:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 12:00:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 12:10:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 12:20:00,DZ,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 12:30:00,DZ,None, , ,no,,8,Very light drizzle ,No,,,None,,,,,,,
MG,2/10/2022 12:40:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 12:50:00,None,None, , ,no,,8,,No,,,None,,,,,,,
MG,2/10/2022 13:00:00,None,None, , ,no,Sc,6,,No,,,None,,,,,,,
MG,2/10/2022 13:10:00,None,None, , ,no,As,6,,No,,,None,,,,,,,
MG,2/10/2022 13:20:00,None,None, , ,no,Ac,6,,No,,,None,,,,,,,
