Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2/10/2022 1:13:00,SN,None,No,No,yes,,,,No,,,None,,,,,,,
ML,2/10/2022 1:30:00,SN,None,No,No,yes,,,,No,,,None,,,,,,,
ML,2/10/2022 7:50:00,None,None,,,yes,,4.0,,No,,,None,,,,,,,
ML,2/10/2022 8:00:00,None,None,,,yes,,5.0,,No,,,None,,,,,,,
ML,2/10/2022 8:10:00,None,None,,,yes,,6.0,,No,,,None,,,,,,,
ML,2/10/2022 8:30:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 8:40:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 8:50:00,SN,None,No,,No,,8.0,Very light rimed snow,No,,,None,,,,,,,
ML,2/10/2022 9:00:00,None,None,,,yes,,8.0,No more snow,No,,,None,,,,,,,
ML,2/10/2022 9:10:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 9:20:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 9:30:00,None,None,,,yes,,4.0,,No,,,None,,,,,,,
ML,2/10/2022 9:40:00,None,None,,,yes,,4.0,,No,,,None,,,,,,,
ML,2/10/2022 10:00:00,None,None,,,yes,,4.0,,No,,,None,,,,,,,
ML,2/10/2022 10:10:00,None,None,,,yes,,7.0,,No,,,None,,,,,,,
ML,2/10/2022 10:20:00,None,None,,,yes,,7.0,,No,,,None,,,,,,,
ML,2/10/2022 10:30:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 10:40:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 10:50:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 11:00:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 11:10:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 11:20:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 11:30:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 11:40:00,SN,IP,No,,yes,,8.0,Refrozen wet snow,Yes,,Red olympus,None,,,,,,,
ML,2/10/2022 11:50:00,None,None,,,No,,8.0,,No,,,None,,,,,,,
ML,2/10/2022 12:00:00,None,None,,,yes,,5.0,,No,,,None,,,,,,,
ML,2/10/2022 12:10:00,SN,IP,no,,yes,,4.0,Tiny refrozen precip,Yes,,Red olympus,None,,,,,,,
ML,2/10/2022 12:20:00,None,None,,,yes,,3.0,,No,,,None,,,,,,,
