Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
BH,3/12/2022 2:00:00,None,None,,,yes,,7.0,,No,,,None,,,,,,,
BH,3/12/2022 2:10:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 2:20:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 2:30:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 2:40:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 2:50:00,None,None,,,yes,,8.0,very light snow but not sure,No,,,None,,,,,,,
BH,3/12/2022 3:00:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BF,3/12/2022 3:10:00,None,None,No,No,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 3:20:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 3:30:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 3:40:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 3:50:00,None,None,,,yes,,,,No,,,None,,,,,,,
BH,3/12/2022 4:00:00,None,None,,,yes,,5.0,,No,,,None,,,,,,,
BH,3/12/2022 4:10:00,None,None,,,yes,,6.0,,No,,,None,,,,,,,
BH,3/12/2022 4:20:00,None,None,,,yes,,7.0,,No,,,None,,,,,,,
BH,3/12/2022 4:30:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 4:40:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 4:50:00,DZ,None,,,yes,,8.0,Mixed with few small ice pellets but not sure,No,,,None,,,,,,,
BH,3/12/2022 5:00:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BF,3/12/2022 5:10:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 5:20:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 5:30:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 5:40:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 5:50:00,DZ,PL,Uncertain,Uncertain,yes,,,Pl very small,No,,,None,,,,,,,
BH,3/12/2022 6:00:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 6:10:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 6:20:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 6:30:00,None,None,,,yes,,7.0,,No,,,None,,,,,,,
BH,3/12/2022 6:40:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 6:50:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 7:00:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BF,3/12/2022 7:30:00,None,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 7:40:00,DZ,None,,,yes,,,,No,,,None,,,,,,,
BF,3/12/2022 8:00:00,None,None,,,yes,,,,No,,,None,,,,,,,
BH,3/12/2022 8:10:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 8:30:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 8:40:00,None,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,3/12/2022 9:00:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
