Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
MG,3/12/2022 0:00:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 0:10:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 0:20:00,SN,None, , ,yes,,,very light and tiny flakes that melt on the photography pad,No,,,None,,,,,,,
RB,3/12/2022 0:30:00,SN,None, , ,no,,,"even lighter snow, barely falling",No,,,None,,,,,,,
RB,3/12/2022 0:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 0:50:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 1:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 1:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 1:20:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 1:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 1:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 1:50:00,GS,None, , ,yes,,,,Yes,,,None,,,,,,,
RB,3/12/2022 2:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 2:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 2:20:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 2:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 2:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 2:50:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:20:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 3:50:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 4:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 4:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 4:20:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 4:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 4:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 4:50:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 5:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
MG,3/12/2022 5:10:00,DZ,None, , ,yes,,,very light drizzle,No,,,None,,,,,,,
MG,3/12/2022 5:20:00,DZ,None, , ,yes,,,very light drizzle,No,,,None,,,,,,,
MG,3/12/2022 5:30:00,SN,None, , ,yes,,,"very light snow, tiny snow particles",No,,,None,,,,,,,
MG,3/12/2022 5:40:00,FZDZ,None, , ,yes,,,light FZDZ,No,,,None,,,,,,,
RB,3/12/2022 6:00:00,SN,None, , ,yes,,,super light (barely there),No,,,None,,,,,,,
RB,3/12/2022 6:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 6:20:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/12/2022 6:30:00,SN,None, , ,yes,,,coming down much faster,Yes,"1/10, f22, 100 ISO",,None,,,,,,,
RB,3/12/2022 6:40:00,PL,None, , ,yes,,,tiny ice pellets,Yes,Same as previous photo,,None,,,,,,,
MG,3/12/2022 6:50:00,FZDZ,None, , ,yes,,,very light FZDZ,no,,,None,,,,,,,
MG,3/12/2022 7:00:00,FZDZ,None, , ,yes,,,very light FZDZ,no,,,None,,,,,,,
MG,3/12/2022 7:10:00,SN,None, , ,yes,,,"very light snow (barely there), tiny snow particles",no,,,None,,,,,,,
MG,3/12/2022 7:20:00,SN,None, , ,yes,,,"very light snow (barely there), tiny snow particles",no,,,None,,,,,,,
MG,3/12/2022 7:20:00,SN,None, , ,yes,,,"very light snow (barely there), tiny snow particles",no,,,None,,,,,,,
MG,3/12/2022 7:30:00,IP,None, , ,yes,,,tiny ice pellets,Yes,Same as previous photo,,None,,,,,,,
MG,3/12/2022 7:40:00,IP,None, , ,yes,,,tiny ice pellets,Yes,Same as previous photo,,None,,,,,,,
MG,3/12/2022 7:50:00,SN,None, , ,yes,,,coming down much faster,Yes,Same as previous photo,,None,,,,,,,
RB,3/12/2022 8:10:00,SN,None, , ,yes,,,steady fast rate,no,,,None,,,,,,,
RB,3/12/2022 8:20:00,SN,None, , ,yes,,,steady fast rate,no,,,None,,,,,,,
