Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2022-03-12 00:00:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/10,ISO 100",,None,,,,,,,
ML,2022-03-12 00:10:00,SN,None,No,,yes,,,,No,"F29,1/10,ISO 100",No ice pellets observed but melting makes some particles look like it,None,,,,,,,
ML,2022-03-12 00:20:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",No ice pellets observed but melting makes some particles look like it,None,,,,,,,
ML,2022-03-12 00:30:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 00:40:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 00:50:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 01:00:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,Snow board only,25,2.0,3.0,,,,Since beginning of event
ML,2022-03-12 01:10:00,SN,None,No,,yes,,,,No,"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 01:20:00,SN,None,No,,No,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 01:30:00,SN,None,yes,,yes,,,,No,"F29,1/8,ISO 100",Particles melting,None,,,,,,,
ML,2022-03-12 01:40:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 01:50:00,SN,None,No,,yes,,,,No,,,None,,,,,,,
ML,2022-03-12 02:00:00,SN,None,No,,yes,,,,No,,,None,,,,,,,
ML,2022-03-12 02:10:00,SN,None,No,,yes,,,,No,,,None,,,,,,,
ML,2022-03-12 02:20:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 02:30:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",,None,,,,,,,
ML,2022-03-12 02:40:00,SN,None,No,,yes,,,,No,,,None,,,,,,,
ML,2022-03-12 02:50:00,SN,None,No,,yes,,,,Yes (macro DSLR),"F29,1/8,ISO 100",Particles melting,None,,,,,,,
