Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
DF,03/12/2022 0:00,SN,None,Yes,,No,Ns,8,Light wet snow,No,Same,,No,,,,, ,,
DF,03/12/2022 0:10,SN,None,Yes,,No,Ns,8,Light wet snow,No,Same,,No,,,,, ,,
DF,03/12/2022 0:20,SN,None,Yes,,No,Ns,8,Light wet snow,No,Same,,No,,,,, ,,
DF,03/12/2022 0:30,SN,None,Yes,,No,Ns,8,Light wet snow,No,Same,,No,,,,, ,,
DF,03/12/2022 0:40,SN,FZDZ,Yes,,No,Ns,8,Very light mix of wet snow and freezing drizzle. Can see the moon at times through the clouds.,No,Same,,No,,,,, ,,
DF,03/12/2022 0:50,SN,FZDZ,Yes,,No,Ns,8,Same as 00:40,No,Same,,No,,,,, ,,
JW,03/12/2022 1:00,FZDZ,SN,Yes,,No,Ns,8,Same as 00:40,No,Same,,Yes,,,,, ,,
JW,03/12/2022 1:10,FZDZ,SN,Yes,,No,Ns,8,Same as 00:40,No,Same,,No,,,,, ,,
JW,03/12/2022 1:20,FZDZ,SN,Yes,,No,Ns,8,Same as 00:40,No,Same,,No,,,,, ,,
JW,03/12/2022 1:30,FZDZ,None,,,No,Ns,8,Very extremely light FZDZ!!,No,Same,,No,,,,, ,,
JW,03/12/2022 1:40,FZDZ,SN,,,No,Ns,7,Very extremely light FZDZ!!,No,Same,,No,,,,, ,,
JW,03/12/2022 1:50,None,None,,,No,Ns,7,All precip has ceased.,No,Same,,No,,,,, ,,
JW,03/12/2022 2:00,None,None,,,No,Ns,7,All precip has ceased.,No,Same,,No,,,,, ,,
DF,03/12/2022 2:10,None,None,,,No,Ns,8,It has become overcast again,No,Same,,No,,,,, ,,
DF,03/12/2022 2:20,SN,GS,No,,Yes,Ns,8,Snow mixed with graupel now.,No,Same,,No,,,,, ,,
DF,03/12/2022 2:30,PL,"SN, FZDZ",No,No,Yes,Ns,8,"A mixture of graupel, wet snow, and FZDZ from ~9:20-9:27, with ice pellets briefly starting around 9:28 pm.",No,Same,Stellar dendrites,No,,,,, ,,
DF,03/12/2022 2:40,SN,None,Yes,,Yes,Ns,8,The ice pellets were very brief. Wet snow now with no other discernible ptypes mixing in,No,Same,"Stellar/Radiating dendrites, riming visible on snow flake",No,,,,, ,,
JW,03/12/2022 2:50,SN,FZDZ,Yes,,Yes,Ns,8,,No,Same,,No,,,,, ,,
DF,03/12/2022 3:00,GS,SN,No,,Yes,Ns,8,Big bouncy grapel particles mixed with a few wet snowflakes,No,Same,,No,,,,, ,,
JW,03/12/2022 3:10,None,None,,,Yes,Ns,8,,No,Same,,No,,,,, ,,
DF,03/12/2022 3:20,GS,None,No,,Yes,Ns,8,"Light graupel again, no discernible secondary precipitation type.",No,Same,Graupel - see photos,No,,,,, ,,
DF,03/12/2022 3:30,None,None,,,Yes,Ns,8,,No,Same,,Yes,2,1.0,2.5,Trace, ,2.0,"Measurement was late - done at 10:30 pm. 2 mm of mixed graupel and snow since the beginning of the IOP, 1 mm water equivalent. Non-measurable accretion from occasional light FZDZ this evening."
JW,03/12/2022 3:40,None,None,,,Yes,Ns,8,,No,Same,,No,,,,, ,,
JW,03/12/2022 3:50,None,None,,,Yes,Ns,8,,No,Same,,No,,,,, ,,
JW,03/12/2022 4:00,None,None,,,Yes,Ns,7,I saw two snowflakes at launch time. specifically 2. that is it though.,No,Same,,No,,,,, ,,
JW,03/12/2022 4:10,None,None,,,Yes,Ns,7,Nothing,No,Same,,No,,,,, ,,
DF,03/12/2022 4:20,FZDZ,None,,,Yes,Ns,7,"Very light freezing drizzle (felt a few raindrops on my skin). Still below freezing at Gault, though no measurable accretion.",No,Same,,No,,,,, ,,
DF,03/12/2022 4:30,None,None,,,Yes,St,7,Hard to tell if there are any drops. Predominant cloud type is no longer Ns since there is no discerible precipitation. ,No,Same,,No,,,,, ,,
DF,03/12/2022 4:40,None,None,,,Yes,St,7,,No,Same,,No,,,,, ,,
JW,03/12/2022 4:50,None,None,,,Yes,St,6,,No,Same,,No,,,,, ,,
DF,03/12/2022 5:00,None,None,,,Yes,St,6,Stratus - hard to tell if there are a mix of cloud types,No,Same,,Yes,no change since prev. ,1.0,1.5,no change since prev. , ,,Total collected so far since beginning of IOP
JW,03/12/2022 5:10,None,None,,,Yes,St,6,,No,Same,,No,,,,, ,,
DF,03/12/2022 5:20,FZDZ,None,,,Yes,St,8,Very light FZDZ - gravity wave on radar moving overhead the Gault site - look to be roughly under a trough.,No,Same,,No,,,,, ,,
DF/JW,03/12/2022 5:30,PL,SN,,,Yes,Ns,8,Light mix of SN/PL,No,Same,"hollow column observed I believe in photo. also solid columns, IP and snow.",No,,,,, ,,
JW/DF,03/12/2022 5:40,PL,SN,,,Yes,Ns,8,Even lighter mix of SN/PL,No,Same,,No,,,,, ,,
DF,03/12/2022 5:50,GS,None,,,Yes,Ns,8,Graupel is back!,No,Same,,No,,,,, ,,
