Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
JL,03/01/2022 16:00,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,,,Yes,0.0,0.0,0.0,0.0,0.0,0.0,
JL,03/01/2022 16:10,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 16:20,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 16:30,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 16:40,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 16:50,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 17:00,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 17:10,SN,None,Yes/a little bit,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 17:20,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 17:30,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 17:40,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,chaged f to 1/6 from 1/10 for final picture of cool snowflake to see if it looked a bit better. hard to say. Going to try 1/8 for next one.,,No,,,,,,,
JW,03/01/2022 17:50,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,trying 1/8 f,,No,,,,,,,
JW,03/01/2022 18:00,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,Yes,15.0,1.5,2.0,0.0,0.0,2.0,
JW,03/01/2022 18:10,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 18:20,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 18:30,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 18:40,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 18:50,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 19:00,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,"Had to change battery, adjsuted focus again used same settings.",No,,,,,,,
JL,03/01/2022 19:10,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 19:20,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 19:30,SN,None,No,,Yes (a bit late),Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 19:40,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,Same as previous photo,Pictures looking a bit brighter. combination of snow becoming more dense and day light changing slightly. Going to try less exposure of flash next obs.,No,,,,,,,
JW,03/01/2022 19:50,SN,None,No,,Yes,Ns,8,Thin plates & Dendrites,Yes,f = 1/10 now.,Pics look a bit better now,No,,,,,,,
JW,03/01/2022 20:00,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,Yes,25.0,4.5,2.0,0.0,0.0,2.0,
JW,03/01/2022 20:10,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 20:20,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 20:30,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 20:40,SN,GS,No,,Yes,Ns,8,Noticing heavy Graupel,Yes,Same as previous photo,,No,,,,,,,
JW,03/01/2022 20:50,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 21:00,SN,GS,Yes/a little bit,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 21:10,SN,GS,Yes/a little bit,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,"Change battery, re-adjust focue",No,,,,,,,
JL,03/01/2022 21:20,SN,GS,Yes/a little bit,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 21:30,GS,SN,No,,No,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
JL,03/01/2022 21:40,GS,SN,No,,Yes,Ns,8,Gs/ stellar dendrites,No,,"Storage shortage, transmitting pictures to computer",No,,,,,,,
JL,03/01/2022 21:50,GS,SN,No,,Yes,Ns,8,Gs/ stellar dendrites,No,,"Storage shortage, transmitting pictures to computer",No,,,,,,,
JL,03/01/2022 22:00,SN,GS,Yes,,Yes,Ns,8,Gs/ stellar dendrites,No,,"Storage shortage, transmitting pictures to computer",Yes,14.0,1.5,2.0,0.0,0.0,2.0,
JL,03/01/2022 22:10,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,No,,"Storage shortage, transmitting pictures to computer",No,,,,,,,
JL,03/01/2022 22:20,SN,GS,No,,Yes,Ns,8,Gs/ stellar dendrites,Yes,Same as previous photo,,No,,,,,,,
