Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
BH,3/1/2022 16:00:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 16:10:00,None,None,,,no,St,8,,No,,,None,,,,,,,
BH,3/1/2022 16:20:00,None,None,,,yes,St,8,Temp 24F 3-4 m/s wind speed,No,,,None,,,,,,,
BH,3/1/2022 17:40:00,None,None,,,yes,St,8,wind speed > 5m/s,No,,,None,,,,,,,
BH,3/1/2022 17:50:00,SN,None,,,no,St,8,,No,,,None,,,,,,,
BH,3/1/2022 18:00:00,SN,None,,,yes,St,8,,No,,Setting it up now,Snow board only,0.0,0,2.0,,,,No snow accumulation
BH,3/1/2022 18:20:00,SN,None,,,yes,St,8,,No,,,None,,,,,,,
BH,3/1/2022 18:30:00,SN,None,,,yes,,8,,No,,changed batteries. going to prepare the sounding,None,,,,,,,
BH,3/1/2022 19:10:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 19:20:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
BH,3/1/2022 19:30:00,None,None,,,yes,St,8,,No,,,None,,,,,,,
BH,3/1/2022 19:40:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 19:50:00,None,None,,,yes,,8,Temp 28F; RH 62%; S wind 4-5 m/s,No,,,None,,,,,,,
BH,3/1/2022 20:00:00,None,None,,,yes,St,8,gust wind leads to blowing snow ,No,,,Snow board only,0.0,0,2.0,,,,no snow accumulation
BH,3/1/2022 20:10:00,None,None,,,no,St,8,Temp 30F; RH 60%; S wind 5m/s,No,,,None,,,,,,,
BH,3/1/2022 20:20:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 20:30:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 20:50:00,None,None,,,no,,8,Gust wind leads to blowing snow,No,,,None,,,,,,,
BH,3/1/2022 21:10:00,None,None,,,yes,,8,Windy ,No,,,None,,,,,,,
BH,3/1/2022 21:30:00,None,None,,,no,,8,,No,,,None,,,,,,,
BH,3/1/2022 21:40:00,None,None,,,yes,,8,Temp 31F; RH 73%; Wind speed 6-7m/s,No,,,None,,,,,,,
BH,3/1/2022 21:50:00,None,None,,,no,,8,Windy,No,,,None,,,,,,,
BH,3/1/2022 22:00:00,None,None,,,yes,,8,,No,,,Snow board only,0.0,0,2.0,,,,
BH,3/1/2022 22:10:00,None,None,,,no,,8,,No,,,None,,,,,,,
BH,3/1/2022 22:20:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 22:30:00,None,None,,,no,,8,,No,,,None,,,,,,,
BH,3/1/2022 22:40:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/1/2022 23:40:00,None,None,,,no,,8,,No,,,None,,,,,,,
BH,3/1/2022 23:50:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/2/2022 0:00:00,None,None,,,yes,,8,,No,,,Snow board only,0.0,0,2.0,,,,
BH,3/2/2022 0:10:00,None,None,,,no,,8,,No,,,None,,,,,,,
BH,3/2/2022 0:20:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/2/2022 0:30:00,None,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/2/2022 1:00:00,SN,None,,,yes,,8,,No,,,None,,,,,,,
BH,3/2/2022 1:10:00,SN,None,,,yes,,8,,Yes (macro DSLR),,2 photos,None,,,,,,,
BH,3/2/2022 1:30:00,SN,None,,,yes,,8,,Yes (macro DSLR),,9 photos ,None,,,,,,,
BH,3/2/2022 1:40:00,SN,None,,,no,,8,,Yes (macro DSLR),,3 photos,None,,,,,,,
BH,3/2/2022 2:00:00,SN,None,,,yes,,8,,Yes (macro DSLR),,5 photos,Snow board only,1.0,~0,2.0,,,,a very thin layer of snow
