Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
RB,3/1/2022 16:00:00,SN,None, , ,yes,Ns,8,,No,,,None,,,,,,,
CH,3/1/2022 16:16:00,SN,None, , ,no,Ns,8,,No,,,None,,,,,,,
CH,3/1/2022 16:29:00,SN,None, , ,no,Ns,8,,No,,,None,,,,,,,
CH,3/1/2022 17:10:00,SN,None, , ,no,Ns,8,,No,,,None,,,,,,,
CH,3/1/2022 17:20:00,SN,None, , ,no,Ns,8,,Yes (macro DSLR),1/20 f22 ISO 100,blowing snow- caught by holding platform perpendicular to wind,None,,,,,,,
CH,3/1/2022 17:30:00,SN,None, , ,no,Ns,8,,Yes (macro DSLR),Same as previous photo,blowing snow- caught by holding platform perpendicular to wind; No high quality images retained.,None,,,,,,,
CH,3/1/2022 17:40:00,SN,None, , ,no,Ns,8,Visibility improved over the last 30 minutes. Roughly 1 SM,No,,,None,,,,,,,
CH,3/1/2022 17:50:00,SN,None, , ,no,Ns,8,,No,,,None,,,,,,,
CH,3/1/2022 18:00:00,SN,None, , ,no,Ns,8,"Snow fall intensifies, Visibility 1/4 of a mile",No,,,Snow board only,0.01,,,,,,"Trace amount, blowing snow pushing accumulation off the board."
CH,3/1/2022 18:10:00,SN,None, , ,no,Ns,8,Visibility 1/4 SM,No,,,None,,,,,,,
CH,3/1/2022 18:20:00,SN,None, , ,no,Ns,8,1/4 SM,No,,,None,,,,,,,
CH,3/1/2022 18:50:00,No ob,No ob, , ,No ob,No ob,No ob,No ob,Yes (macro DSLR),,falling snow,No ob,,,,,,,
CH,3/1/2022 19:10:00,SN,None, , ,no,Ns,8,Snowfall rates decreased over the past 40 minutes. Wind speeds have fallen. Visibility increased to 1 1/2 SM,Yes (macro DSLR),1/10 f22 ISO 100,falling snow,None,,,,,,,
CH,3/1/2022 19:40:00,SN,None, , ,no,Ns,8,"Light snow showers, visibility 5 SM",No,,,None,,,,,,,
CH,3/1/2022 19:55:00,SN,GS, , ,yes,Ns,8,"Light Snow Showers, visibility 5 SM, not sure of exact start and end time of graupel",No,,,None,,,,,,,
CH,3/1/2022 20:00:00,SN,GS, , ,yes,Ns,8,"Light Snow Showers, 5 SM, , not sure of exact start and end time of graupel",No,,,Snow board only,0.01,,,,,,Trace
CH,3/1/2022 20:20:00,SN,None, , ,no,Ns,8,"Light Snow Showers, 5 SM",No,,,None,,,,,,,
CH,3/1/2022 20:30:00,SN,None, , ,yes,Ns,8,"Light Snow Showers, VIS 5 SM",No,,,None,,,,,,,
CH,3/1/2022 20:40:00,SN,None, , ,no,Ns,8,"Snowfall increases, VIS 2 SM",Yes (cell phone only),,Graupel in helium tank; No high quality images retained,None,,,,,,,
CH,3/1/2022 21:00:00,SN,GS, , ,no,Ns,8,"Light Graupel and snow showers, VIS 2 SM",No,,,None,,,,,,,
CH,3/1/2022 21:10:00,SN,GS, , ,no,Ns,8,Light snow and graupel showers ,No,,,None,,,,,,,
CH,3/1/2022 21:20:00,None,None, , ,no,St,8,VIS 5 SM,No,,,None,,,,,,,
CH,3/1/2022 21:30:00,None,None, , ,no,St,8,VIS 5 SM,No,,,None,,,,,,,
CH,3/1/2022 21:40:00,None,None, , ,no,St,8,,No,,,None,,,,,,,
RB,3/1/2022 21:50:00,None,None, , ,no,St,8,,No,,,None,,,,,,,
RB,3/1/2022 22:00:00,None,None, , ,no,St,8,,No,,,None,,,,,,,
RB,3/1/2022 22:10:00,None,None, , ,yes,St,8,,No,,,None,,,,,,,
RB,3/1/2022 22:30:00,None,None, , ,yes,St,8,,No,,,None,,,,,,,
RB,3/1/2022 22:40:00,None,None, , ,yes,St,8,,No,,,None,,,,,,,
CH,3/1/2022 23:00:00,None,None, , ,no,St,8,VIS: 5 SM,No,,,None,,,,,,,
CH,3/1/2022 23:10:00,None,None, , ,no,St,8,,No,,,None,,,,,,,
CH,3/1/2022 23:20:00,SN,None, , ,yes,Ns,8,Light snow showers,No,,,None,,,,,,,
CH,3/1/2022 23:30:00,SN,None, , ,no,Ns,8,Snow Showers ,No,,,None,,,,,,,
CH,3/1/2022 23:40:00,SN,None, , ,no,Ns,8,Snowfall moderate,No,,,None,,,,,,,
CH,3/1/2022 23:50:00,SN,None, , ,no,Ns,,,No,,,None,,,,,,,
CH,3/2/2022 0:00:00,SN,None, , ,no,St,8,,No,,,None,,,,,,,
RB,3/2/2022 0:10:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/2/2022 0:20:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/2/2022 0:30:00,SN,None, , ,no,,,,No,,,None,,,,,,,
RB,3/2/2022 0:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB ,3/2/2022 1:10:00,SN,None, , ,yes,,,,Yes (macro DSLR),Same as previous photo,falling snow,None,,,,,,,
RB,3/2/2022 1:20:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB,3/2/2022 1:30:00,SN,None, , ,yes,,,Lighter snow,No,,,None,,,,,,,
RB,3/2/2022 1:40:00,SN,None, , ,yes,,,,No,,,None,,,,,,,
RB ,3/2/2022 1:50:00,SN,None, , ,no,,,,No,,,None,,,,,,,
