qitop,nitop
1.2329141099001687e-08,87296.3124611136
1.2393877167990683e-08,87126.67384708545
1.2458629342547289e-08,86958.20431697181
1.2523397546917547e-08,86790.890085912
1.2588181706075178e-08,86624.71759846143
1.2652981745711276e-08,86459.67352367158
1.2717797592223798e-08,86295.74475029857
1.2782629172707542e-08,86132.91838213691
1.2847476414944163e-08,85971.1817334741
1.2912339247392482e-08,85810.52232466309
1.2977217599178869e-08,85650.92787780777
1.3042111400087897e-08,85492.38631255981
1.3107020580553172e-08,85334.88574202168
1.3171945071648184e-08,85178.41446875385
1.3236884805077624e-08,85022.96098088291
1.3301839713168468e-08,84868.51394830676
1.3366809728861642e-08,84715.06221899547
1.3431794785703492e-08,84562.59481538339
1.3496794817837626e-08,84411.10093085108
1.3561809759996784e-08,84260.56992629367
1.3626839547494962e-08,84110.9913267737
1.3691884116219537e-08,83962.35481825528
1.3756943402623693e-08,83814.65024441812
1.3822017343718841e-08,83667.86760354835
1.3887105877067264e-08,83521.9970455044
1.3952208940774856e-08,83377.02886875559
1.401732647348399e-08,83232.95351749149
1.408245841436652e-08,83089.76157880007
1.4147604703116894e-08,82947.4437799125
1.421276527994537e-08,82805.99098551286
1.4277940085571417e-08,82665.3941951114
1.4343129061217167e-08,82525.64454047852
1.4408332148600976e-08,82386.73328313904
1.4473549289931119e-08,82248.65181192405
1.4538780427899581e-08,82111.39164057955
1.4604025505676005e-08,81974.94440542987
1.4669284466901645e-08,81839.30186309454
1.4734557255683462e-08,81704.45588825711
1.4799843816588363e-08,81570.39847148467
1.4865144094637496e-08,81437.12171709654
1.493045803530064e-08,81304.61784108086
1.4995785584490653e-08,81172.87916905787
1.5061126688558084e-08,81041.89813428864
1.5126481294285842e-08,80911.66727572799
1.5191849348883924e-08,80782.17923612047
1.525723079998429e-08,80653.42676013833
1.5322625595635693e-08,80525.4026925602
1.5388033684298813e-08,80398.09997648976
1.545345501484119e-08,80271.51165161301
1.551888953653252e-08,80145.63085249347
1.5584337199039786e-08,80020.45080690399
1.5649797952422635e-08,79895.96483419459
1.5715271747128745e-08,79772.1663436951
1.578075853398923e-08,79649.0488331521
1.584625826421426e-08,79526.60588719882
1.5911770889388595e-08,79404.83117585751
1.5977296361467277e-08,79283.71845307354
1.6042834632771344e-08,79163.26155527997
1.610838565598365e-08,79043.45439999239
1.6173949384144705e-08,78924.29098443303
1.6239525770648594e-08,78805.7653841832
1.6305114769239032e-08,78687.87175186395
1.637071633400532e-08,78570.60431584346
1.6436330419378524e-08,78453.95737897143
1.6501956980127572e-08,78337.92531733893
1.656759597135558e-08,78222.5025790638
1.6633247348496e-08,78107.68368310049
1.6698911067309103e-08,77993.4632180741
1.676458708387822e-08,77879.8358411377
1.683027535460631e-08,77766.79627685288
1.6895975836212373e-08,77654.33931609237
1.6961688485728042e-08,77542.45981496463
1.7027413260494147e-08,77431.15269375988
1.7093150118157378e-08,77320.41293591671
1.715889901666699e-08,77210.23558700937
1.7224659914271545e-08,77100.61575375462
