Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
JW,03/07/2022 18:00,DZ,None,,,No,Ns,8,"Very close on the line of FZDZ but temp is still 0.4 deg C and haven't had any accretion, so sticking to DZ",No,Same,,Yes,0.0,0.0,0.0,0.0,0.0,0,
JW,03/07/2022 18:10,DZ,None,,,No,Ns,8,Same as 18:00 comment,No,Same,,No,,,,,,,
JW,03/07/2022 18:20,DZ,None,,,No,Ns,8,Same as 18:00 comment,No,Same,,No,,,,,,,
JW,03/07/2022 18:30,DZ,None,,,No,Ns,8,Same as 18:00 comment,No,Same,,No,,,,,,,
JW,03/07/2022 18:40,DZ,None,,,No,Ns,8,Same as 18:00 comment,No,Same,,No,,,,,,,
JW,03/07/2022 18:50,DZ,None,,,No,Ns,8,Same as 18:00 comment,No,Same,,No,,,,,,,
JW,03/07/2022 19:00,DZ,None,,,No,Ns,8,"Same as 18:00 comment, but temps now at about 0.1 deg C so watching very closely. no accretion yet. Still DZ I believe.",No,Same,,Yes,,,,0.0,0.0,1,
JW,03/07/2022 19:10,DZ,None,,,No,Ns,8,no accretion yet. Very much so still DZ right now with same 0.1 deg C temp,No,Same,,No,,,,,,,
JW,03/07/2022 19:20,DZ,None,,,No,Ns,8,Same.,No,Same,,No,,,,,,,
JW,03/07/2022 19:30,DZ,None,,,No,Ns,8,"no accretion yet. Very much so still DZ right now, tiny tiny droplets with same 0.3 deg C temp",No,Same,,No,,,,,,,
JW,03/07/2022 19:40,DZ,None,,,No,Ns,8,Same.,No,Same,,No,,,,,,,
JW,03/07/2022 19:50,DZ,None,,,No,Ns,8,Same.,No,Same,,No,,,,,,,
JW,03/07/2022 20:00,DZ,None,,,No,Ns,8,Same.,No,Same,,Yes,0.0,0.0,0.0,0.0,0.0,1,
DF,03/07/2022 20:10,DZ,None,,,No,Ns,8,no accretion yet. Misty and drizzly. Gault hotplate temperature very near 0C.,No,Same,,No,,,,,,,
DF,03/07/2022 20:20,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 20:30,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 20:40,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 20:50,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 21:00,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,Yes,,,,0.0,0.0,1,
DF,03/07/2022 21:10,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 21:20,DZ,None,,,No,Ns,8,Same as 20:10 comment.,No,Same,,No,,,,,,,
DF,03/07/2022 21:30,DZ,None,,,No,Ns,8,"Drizzle and mist continue. Hotplate just dropped to -0.1C, with 2 m temp of +0.3C. Still no visible ice accretion on the rod or other surfaces.",No,Same,,No,,,,,,,
DF,03/07/2022 21:40,DZ,None,,,No,Ns,8,Drizzle and mist continue. No visible ice accretion.,No,Same,,No,,,,,,,
DF,03/07/2022 21:50,DZ,None,,,No,Ns,8,Same as 21:40,No,Same,,No,,,,,,,
DF,03/07/2022 22:00,DZ,None,,,No,Ns,8,Same as 21.40. *Note: surface temperature of radiosonde was > 1 C. Misty,No,Same,,Yes,0.0,0.0,0.0,0.0,0.0,1,:'(
DF,03/07/2022 22:10,DZ,None,,,Yes,Ns,8,Same as 21.40. Misty,No,Same,,No,,,,,,,
DF,03/07/2022 22:20,DZ,None,,,Yes,Ns,8,Same as 21.,No,Same,,No,,,,,,,
JW,03/07/2022 22:30,DZ,None,,,Yes,Ns,8,Same as 21.,No,Same,,No,,,,,,,
JW,03/07/2022 22:40,PL,RA,Yes,Yes,Yes,Ns,8,"HUGE ice pellets showed up (~1cm diameter but not round) with liquid core and melting. some RA was present, and we haven't observed accretion yet, though Met data might show accretion for like 3 mins because the droplets were HUGE. Hard to tell if secondary precip type here was FZRA or RA because temps still above 0. Dutsin got cool vid of liquid core on the camera.",Yes,Same,,No,,,,,,,
JW,03/07/2022 22:50,RA,PL,Yes,Yes,Yes,Ns,8,"IP significantly smaller and fewer but still liquid core visible on camera, again temps still above 0 and no accretion yet so hard to tell if main type is FZRA or RA.",Yes,Same,,No,,,,,,,
JW,03/07/2022 23:00,RA,None,,,Yes,Ns,8,No IP observed. we think this is RA now. expecting more soon!!,No,Same,,No,,,,0.0,0.0,1,
JW,03/07/2022 23:10,RA,None,,,Yes,Ns,8,just RA,No,Same,,No,,,,,,,
JW,03/07/2022 23:20,RA,None,,,Yes,Ns,8,"No accretion, just RA",No,Same,,No,,,,,,,
JW,03/07/2022 23:30,RA,None,,,Yes,Ns,8,"No accretion, just RA",No,Same,,No,,,,,,,
JW,03/07/2022 23:40,RA,None,,,Yes,Ns,8,"No accretion, just RA",No,Same,,No,,,,,,,
JW,03/07/2022 23:50,PL,RA,,,Yes,Ns,8,"Small moment of IP while we were working on launching. big pellets, but temps still above 0. hot plate was just at 0 at this time.",No,Same,,No,,,,,,,
JW,03/08/2022 0:00,RA,DZ,,,Yes,Ns,8,Very hard to tell if FZRA and FZDZ is occuring or not because temps still above 0 and we have yet to see any accretion so for now leaving as unfrozen precip types. Worth checking on Met data though after event.,No,Same,,Yes,0.0,0.0,0.0,0.0,0.0,1,
JW,03/08/2022 0:10,RA,DZ,,,Yes,Ns,8,Definetly just DZ and RA now I'd say. Doubt any accretion.,No,Same,,No,,,,,,,
JW,03/08/2022 0:20,DZ,None,,,Yes,Ns,8,"Definetly just DZ. No accretion, temps all back up around 0.4 deg C",No,Same,,No,,,,,,,
DF,03/08/2022 0:30,PL,None,Yes,Yes,Yes,Ns,8,Ice pellets have returned - with liquid cores!,Yes,Same,,No,,,,,,,
DF,03/08/2022 0:40,PL,SN,Yes,No,Yes,Ns,8,Wet snow mixing in with the PL now.,Yes,Same,,No,,,,,,,Ice pellets - may be a mix between liquid core and not - hard to tell.
DF,03/08/2022 0:50,SN,None,No,No,Yes,Ns,8,,Yes,Same,,No,,,,,,,
DF,03/08/2022 1:00,SN,PL,Yes,No,Yes,Ns,8,,Yes,Same,,No,,,,,,,
DF,03/08/2022 1:10,PL,FZDZ,Yes,No,Yes,Ns,8,,Yes,Same,,No,,,,,,,
DF,03/08/2022 1:10,SN,PL",Yes,No,Yes,Ns,8,,Yes,Same,,Yes,0.8,4.5,1.0,0.0,0.0,Since start,
DF,03/08/2022 1:50,SN,None,No,No,Yes,Ns,8,Wet snow now ,Yes,Same,,Yes,0.8,4.5,1.0,0.0,0.0,Since start,
