165
XX
-----------------------------------------------------------------------------
PRES   HGHT   TEMP   QVIN   RELH  DWPT   USPD  VSPD     MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C   kg/kg   %    C     m/s    m/s       g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
  753.7    2421   -2.1  0.004281   92.9   -3.1     0.0     0.0
  750.9    2451   -2.2  0.004270   92.4   -3.3     0.0     0.0
  748.1    2481   -2.1  0.004311   92.2   -3.2     0.0     0.0
  745.3    2510   -2.2  0.004292   92.1   -3.3     0.0     0.0
  742.5    2540   -2.5  0.004216   88.8   -4.1     0.0     0.0
  739.7    2570   -2.6  0.004204   90.6   -3.9     0.0     0.0
  736.9    2600   -2.9  0.004137   89.2   -4.4     0.0     0.0
  734.2    2629   -3.0  0.004118   89.1   -4.5     0.0     0.0
  731.4    2659   -3.0  0.004118   88.9   -4.6     0.0     0.0
  728.7    2689   -3.2  0.004084   88.5   -4.8     0.0     0.0
  726.0    2719   -3.4  0.004050   87.8   -5.1     0.0     0.0
  723.2    2748   -3.5  0.004025   87.6   -5.2     0.0     0.0
  720.5    2778   -3.7  0.003981   88.0   -5.4     0.0     0.0
  717.8    2808   -3.9  0.003936   87.6   -5.6     0.0     0.0
  715.1    2838   -4.0  0.003912   87.5   -5.8     0.0     0.0
  712.4    2867   -4.2  0.003888   88.4   -5.8     0.0     0.0
  709.7    2897   -4.3  0.003871   89.3   -5.8     0.0     0.0
  707.0    2927   -4.4  0.003853   88.5   -6.0     0.0     0.0
  704.4    2957   -4.5  0.003828   88.3   -6.2     0.0     0.0
  701.7    2986   -4.7  0.003787   88.8   -6.3     0.0     0.0
  699.1    3016   -4.9  0.003733   89.7   -6.4     0.0     0.0
  696.4    3046   -5.1  0.003700   90.1   -6.5     0.0     0.0
  693.8    3076   -5.3  0.003664   89.1   -6.8     0.0     0.0
  691.2    3105   -5.5  0.003619   90.0   -6.9     0.0     0.0
  688.6    3135   -5.7  0.003579   90.2   -7.0     0.0     0.0
  686.0    3165   -5.9  0.003548   88.7   -7.4     0.0     0.0
  683.4    3195   -6.0  0.003531   89.1   -7.5     0.0     0.0
  680.8    3224   -6.1  0.003502   89.2   -7.6     0.0     0.0
  678.2    3254   -6.3  0.003466   89.2   -7.8     0.0     0.0
  675.6    3284   -6.5  0.003434   87.9   -8.2     0.0     0.0
  673.0    3314   -6.7  0.003396   87.9   -8.4     0.0     0.0
  670.5    3344   -6.8  0.003366   87.3   -8.6     0.0     0.0
  667.9    3373   -7.0  0.003336   87.5   -8.7     0.0     0.0
  665.4    3403   -7.2  0.003310   88.0   -8.8     0.0     0.0
  662.9    3433   -7.4  0.003274   88.4   -8.9     0.0     0.0
  660.3    3463   -7.5  0.003245   87.4   -9.3     0.0     0.0
  657.8    3492   -7.7  0.003210   86.7   -9.5     0.0     0.0
  655.3    3522   -7.9  0.003176   87.2   -9.7     0.0     0.0
  652.8    3552   -8.1  0.003136   88.0   -9.7     0.0     0.0
  650.3    3582   -8.3  0.003099   87.9   -10.0     0.0     0.0
  647.8    3611   -8.5  0.003063   88.0   -10.1     0.0     0.0
  645.3    3641   -8.7  0.003035   87.2   -10.4     0.0     0.0
  642.9    3671   -8.8  0.003012   87.2   -10.6     0.0     0.0
  640.4    3701   -8.8  0.003018   87.0   -10.6     0.0     0.0
  637.9    3730   -9.0  0.002995   87.9   -10.6     0.0     0.0
  635.5    3760   -9.1  0.002978   87.8   -10.8     0.0     0.0
  633.1    3790   -9.3  0.002955   88.1   -10.9     0.0     0.0
  630.6    3820   -9.3  0.002960   88.0   -10.9     0.0     0.0
  628.2    3849   -9.3  0.002971   86.9   -11.1     0.0     0.0
  625.8    3879   -9.4  0.002951   87.4   -11.1     0.0     0.0
  623.4    3909   -9.5  0.002933   88.9   -11.0     0.0     0.0
  621.0    3939   -9.6  0.002921   88.7   -11.2     0.0     0.0
  618.6    3968   -9.7  0.002916   88.4   -11.3     0.0     0.0
  616.2    3998   -9.9  0.002890   88.0   -11.5     0.0     0.0
  613.8    4028   -10.0  0.002878   88.2   -11.6     0.0     0.0
  611.5    4058   -10.2  0.002845   88.0   -11.8     0.0     0.0
  609.1    4087   -10.3  0.002840   85.5   -12.2     0.0     0.0
  606.8    4117   -10.4  0.002811   86.3   -12.3     0.0     0.0
  604.4    4147   -10.6  0.002780   86.3   -12.5     0.0     0.0
  602.1    4177   -10.8  0.002745   85.6   -12.8     0.0     0.0
  599.8    4206   -11.0  0.002721   85.7   -12.9     0.0     0.0
  597.5    4236   -11.1  0.002703   85.5   -13.1     0.0     0.0
  595.2    4266   -11.2  0.002701   85.3   -13.2     0.0     0.0
  592.9    4296   -11.4  0.002663   85.8   -13.3     0.0     0.0
  590.6    4326   -11.5  0.002650   85.4   -13.5     0.0     0.0
  588.3    4355   -11.7  0.002625   85.5   -13.6     0.0     0.0
  586.0    4385   -11.8  0.002618   85.4   -13.7     0.0     0.0
  583.7    4415   -11.9  0.002600   85.0   -13.9     0.0     0.0
  581.4    4445   -12.1  0.002576   85.2   -14.0     0.0     0.0
  579.2    4474   -12.2  0.002556   85.5   -14.1     0.0     0.0
  576.9    4504   -12.4  0.002535   85.4   -14.3     0.0     0.0
  576.4    4534   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4564   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4593   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4623   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4653   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4683   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4712   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4742   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4772   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4802   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4831   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4861   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4891   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4921   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4950   -12.4  0.002530   84.6   -14.4     0.0     0.0
  576.4    4980   -12.4  0.002530   84.6   -14.4     0.0     0.0
